"Reference","Qty","Value","Manufacturer_Part_Number","Mouser Part Number","DNP","Exclude from BOM","Exclude from Board","Datasheet","Manufacturer_Name","Mouser Price/Stock","#"
"3V1,STATUS1","2","HSMG-C170","HSMG-C170","630-HSMG-C170","","","","https://datasheet.datasheetarchive.com/originals/distributors/SFDatasheet-4/sf-00083853.pdf","Avago Technologies","https://www.mouser.co.uk/ProductDetail/Broadcom-Avago/HSMG-C170?qs=YDL0qNrpDT4lm8ArMPkMEA%3D%3D","1"
"5V1","1","HSMA-C170","HSMA-C170","630-HSMA-C170","","","","https://docs.broadcom.com/docs/AV02-0112EN","Avago Technologies","https://www.mouser.co.uk/ProductDetail/Broadcom-Avago/HSMA-C170?qs=YDL0qNrpDT47TEfDRX4SKQ%3D%3D","2"
"12V1","1","HSMC-C170","HSMC-C170","630-HSMC-C170","","","","https://docs.broadcom.com/docs/AV02-0112EN","Avago Technologies","https://www.mouser.co.uk/ProductDetail/Broadcom-Avago/HSMA-C170?qs=YDL0qNrpDT47TEfDRX4SKQ%3D%3D","3"
"C1,C2,C6,C8,C9,C10,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C34,C35,C37,C42,C43,C44,C45,C46,C47","35","0.1uF","CL21B104KCC5PNC ","187-CL21B104KCC5PNC ","","","","","","","4"
"C3,C4,C32,C38","4","10uF","CL21A106KBYQNNE","187-CL21A106KBYQNNE ","","","","","","","5"
"C5,C7","2","4.7uF","CL21A475KACLRNC ","187-CL21A475KACLRNC ","","","","","","","6"
"C11","1","10nF","CL21B103KC6WPNC","187-CL21B103KC6WPNC ","","","","","","","7"
"C33","1","33uF","EEH-ZA1K330P ","667-EEH-ZA1K330P ","","","","","","","8"
"C39,C40,C49,C52,C53","5","22uF","CL21X226MQQNNNG","187-CL21X226MQQNNNG","","","","","","","9"
"C41","1","47uF","EEH-ZA1K470P ","667-EEH-ZA1K470P ","","","","","","","10"
"C48","1","1uF","CL21B105KOFNNWE","187-CL21B105KOFNNWE","","","","","","","11"
"C51","1","220nF","CL21B224KBFNFNE","187-CL21B224KBFNFNE","","","","","","","12"
"C54","1","39pF","CL21C390JBANNNC","187-CL21C390JBANNNC","","","","","","","13"
"D1,D5","2","B130-13-F","B130-13-F","621-B130-F","","","","https://componentsearchengine.com/Datasheets/2/B130-13-F.pdf","Diodes Incorporated","https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/B130-13-F?qs=ktxrFkbdJI2hK4V%252BoGYiAQ%3D%3D","14"
"D2","1","SMBJ26A","SMBJ26A","576-SMBJ26A","","","","https://www.littelfuse.com/assetdocs/tvs-diodes-smbj-series-datasheet?assetguid=ba555e99-a12d-4f72-a0b6-86b06c67171e","","","15"
"D3,D4","2","1N4148W","1N4148W-7-F ","621-1N4148W-7-F","","","","https://www.vishay.com/docs/85748/1n4148w.pdf","","","16"
"F1","1","NANOSMDC050F_13.2-2","NANOSMDC050F/13.2-2","650-NANOC050F/13.2-2","","","","http://www.littelfuse.com/~/media/electronics/datasheets/resettable_ptcs/littelfuse_ptc_nanosmd_catalog_datasheet.pdf.pdf","LITTELFUSE","https://www.mouser.co.uk/ProductDetail/Littelfuse/NANOSMDC050F-13.2-2?qs=k5V78Jg%2Feq7nuZ2PUwZ3mw%3D%3D","17"
"F2","1","1812L150_24MR","1812L150/24MR","576-1812L150/24MR","","","","http://www.littelfuse.com/~/media/electronics/datasheets/resettable_ptcs/littelfuse_ptc_1812l_datasheet.pdf.pdf","LITTELFUSE","https://www.mouser.co.uk/ProductDetail/Littelfuse/1812L150-24MR?qs=PWhpLWeW8wfTVRohZjjbDw%3D%3D","18"
"IC1","1","CDCLVC1106PWR","CDCLVC1106PWR","595-CDCLVC1106PWR","","","","http://www.ti.com/lit/ds/symlink/cdclvc1108.pdf","Texas Instruments","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/CDCLVC1106PWR?qs=CLImetaeaXVZfWEl0J7gng%3D%3D","19"
"IC2","1","ESP32-WROOM-32UE-N16","ESP32-WROOM-32UE-N16","356-ESP32WRM32UE28UH","","","","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32e_esp32-wroom-32ue_datasheet_en.pdf","Espressif Systems","https://www.mouser.co.uk/ProductDetail/Espressif-Systems/ESP32-WROOM-32UE-N16?qs=Li%252BoUPsLEnuNGsnBS87Cxw%3D%3D","20"
"IC3,IC4,IC10,IC11","4","MMBT3904-AQ","MMBT3904-AQ","637-MMBT3904-AQ","","","","https://media.digikey.com/pdf/Data%20Sheets/ON%20Semiconductor%20PDFs/2N3904,MMBT3904,PZT3904.pdf","Diotec","https://www.mouser.co.uk/ProductDetail/Diotec-Semiconductor/MMBT3904?qs=OlC7AqGiEDkK1MwiyUU6mg%3D%3D","21"
"IC5","1","W5500","W5500","950-W5500","","","","http://wizwiki.net/wiki/lib/exe/fetch.php?media=products:w5500:w5500_ds_v106e_141230.pdf","WIZnet Inc","https://www.mouser.co.uk/ProductDetail/WIZnet/W5500?qs=2vh%252B45pPFtzthUpYPd4pqA%3D%3D","22"
"IC6","1","CP2102N-A02-GQFN24","CP2102N-A02-GQFN24","634-CP2102NA02GQFN24","","","","https://componentsearchengine.com/Datasheets/1/CP2102N-A02-GQFN24.pdf","Silicon Labs","https://www.mouser.co.uk/ProductDetail/Silicon-Labs/CP2102N-A02-GQFN24?qs=u16ybLDytRYKabtL%2FE7DZA%3D%3D","23"
