Designator,Footprint,Quantity,Value,LCSC Part #
12V1,LEDC2012X90N,1,HSMC-C170,
"3V1, STATUS1",LEDC2012X80N,2,HSMG-C170,
5V1,LEDC2012X90N,1,HSMA-C170,
"C1, C10, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C34, C35, C37, C42, C43, C44, C45, C46, C47, C6, C8, C9",0805,35,0.1uF,
C11,0805,1,10nF,
"C3, C32, C38, C4",0805,4,10uF,
C33,C_Elec_10x10.2,1,33uF,
"C39, C40, C49, C52, C53",0805,5,22uF,
C41,C_Elec_10x10.2,1,47uF,
C48,0805,1,1uF,
"C5, C7",0805,2,4.7uF,
C51,0805,1,220nF,
C54,0805,1,39pF,
"D1, D5",DIOM5226X230N,2,B130-13-F,
D2,D_SMA,1,SMBJ26A,
"D3, D4",D_SOD-123,2,1N4148W,
F1,FUSC3216X74N,1,NANOSMDC050F_13.2-2,
F2,1812L010DR,1,1812L150_24MR,
IC1,SOP65P640X120-14N,1,CDCLVC1106PWR,
"IC10, IC11, IC3, IC4",SOT95P240X120-3N,4,MMBT3904-AQ,
"IC12, IC13, IC15",SOT95P280X145-5N,3,SN74LVC1G125DBVT,
IC14,SOT230P700X180-4N,1,LM3940IMP-3.3_NOPB,
IC17,SOIC127P600X175-8N,1,LM393DR,
IC2,ESP32WROOM32UEN16,1,ESP32-WROOM-32UE-N16,
IC5,QFP50P900X900X160-48N,1,W5500,
IC6,QFN50P400X400X80-25N-D,1,CP2102N-A02-GQFN24,
IC7,SOT95P280X145-6N,1,USBLC6-2SC6,
IC8,SOIC127P600X170-9N,1,LMR33640ADDAR,
"IRQ1, SCLK1",LEDC2012X90N,2,HSMN-C170,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J2,TMJ0026ABNL,1,TMJ0026ABNL,
"J3, J6",57478422,2,5747842-2,
J7,SHDR2W69P0X250_1X2_500X530X1040P,1,171825-2,
L1,L_12x12mm_H4.5mm,1,7447715003,
Q1,SOT95P237X112-3N,1,SQ2319ADS-T1_BE3,
Q2,SOT95P237X112-3N,1,SQ2348ES-T1_BE3,
"R1, R2, R21, R22, R3",0805,5,330,
"R10, R11, R12, R13, R29, R30, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R77, R78, R79, R8, R80, R81, R9",0805,44,33,
"R14, R17, R19, R20, R23, R24, R25, R26, R27, R28, R4, R5, R51, R69, R70, R71, R72, R73, R74, R84, R88",0805,21,10k,
"R15, R16",0805,2,5.1k,
R18,0805,1,12.4k,
"R31, R54, R6, R7",0805,4,4.7k,
R52,0805,1,680,
R53,0805,1,1.5k,
"R67, R68",0805,2,2.55K,
"R75, R76",0805,2,1M,
R82,0805,1,22.1k,
R83,0805,1,47.5k,
R85,0805,1,24.9k,
"R86, R87",0805,2,100k,
"RT1, RT2",THRMC2012X130N,2,B57442V5103J062,
"S1, S2",B3U-1000P,2,B3U-1000P,
"U1, U2, U4, U5, U6, U7",TSSOP28_SOT361-1_NXP,6,SC16IS752IPW_128,
U3,D16,1,CD74HC138QM96Q1,
Y2,ASE24576MHZLCT,1,ASE-14.7456MHZ-LC-T,
Y3,ASE24576MHZLCT,1,ASE-25.000MHZ-LC-T,
